relationship,source_entity,target_entity,question_code,description
occursIn,UsageFrequency,TimePeriod,MRDAYPYR,Usage frequency is measured over the past 12 months.
hasUsageFrequency,MarijuanaUsage,SurveyPeriod,MRDAYPMO,Relates the frequency of marijuana usage to the time period of the past 12 months.
uses,Respondent,DrugUse,MRDAYPWK,The respondent who used marijuana or any cannabis product.
measuredBy,DrugUse,Frequency,MRDAYPWK,The frequency of marijuana or cannabis product use.
occurredIn,DrugUse,TimePeriod,MRDAYPWK,The period in the past 12 months during which the marijuana or cannabis product use occurred.
hasUsageFrequency,Respondent,MarijuanaUsage,MJDAY30A,Relates the respondent to their marijuana or cannabis product usage frequency within the past 30 days.
hasSurveyPeriod,MarijuanaUsage,SurveyPeriod,MJDAY30A,"Associates the frequency of marijuana usage to the specific survey period, which is the past 30 days."
estimatedNumberOfDays,Survey_Respondent,Drug_Use,MR30EST,The respondent's best estimate of the number of days they used marijuana or cannabis in the past 30 days.
hasSurveyPeriod,Drug_Use,Time_Period,MR30EST,The drug use is evaluated over the past 30 days.
hasUsagePeriod,MarijuanaUse,SurveyPeriod,MJYRSMOKE,Relates marijuana use by smoking to the survey period of the past 12 months.
hasUsagePeriod,CannabisUse,SurveyPeriod,MJYRSMOKE,Relates cannabis product use to the survey period of the past 12 months.
includesMethod,MarijuanaUse,UsageMethod,MJYRSMOKE,"Specifies the method of using marijuana (e.g., smoking)."
includesMethod,CannabisUse,UsageMethod,MJYRSMOKE,Specifies the method of using cannabis product.
hasTimePeriod,MarijuanaUse,TimePeriod,MJYRVAPE,Relates the usage of marijuana to the past 12 months.
hasProductType,MarijuanaUse,CannabisProductType,MJYRVAPE,Relates the usage of marijuana to the specific types of cannabis products.
hasSubstanceUse,Respondent,SubstanceUse,MJYRDAB,Relates the respondent to the type of substance use.
consumesUsingMethod,SubstanceUse,MethodOfConsumption,MJYRDAB,Indicates the method of using the substance.
hasSurveyPeriod,Survey,SurveyPeriod,MJYRDAB,Relates the survey to the time period of the past 12 months.
hasUsageMethod,MarijuanaUsage,CannabisProduct,MJYREAT,Specifies the way cannabis products were used in the past 12 months
withinPeriod,MarijuanaUsage,SurveyPeriod,MJYREAT,Indicates that marijuana usage was within the past 12 months
hasUseMethod,MarijuanaUsage,MarijuanaUseMethod,MJYRMOUTH,Relates the use of marijuana to the specific methods used in the past 12 months.
hasSurveyPeriod,MarijuanaUsage,SurveyPeriod,MJYRMOUTH,Relates the survey question to the time period of the past 12 months.
hasUsed,Substance,UsageMethod,MJYRSKIN,Defines the method of using marijuana or any cannabis product
hasUsageTimePeriod,UsageMethod,TimePeriod,MJYRSKIN,Relates the method of using marijuana or any cannabis product to the time period of usage
usedInPeriod,Substance,TimePeriod,MJYRPILL,Relates the use of marijuana or cannabis product to the past 12 months.
usedByMethod,Substance,SubstanceUseMethod,MJYRPILL,Relates marijuana or cannabis product to its method of use in the past 12 months.
hasTimePeriod,MarijuanaUse,TimePeriod,MJYROTHER,Relates the marijuana usage to a specific time period in the past 12 months.
hasConsumptionMethod,MarijuanaUse,ConsumptionMethod,MJYROTHER,Relates the marijuana usage to different methods of consumption in the past 12 months.
hasSurveyPeriod,Survey,SurveyPeriod,MJMONSMOKE,Relates the survey to the time period of the past 30 days.
reportsUsageMethod,Respondent,MarijuanaUsageMethod,MJMONSMOKE,Indicates that the respondent reports the method of marijuana usage.
refersToDate,SurveyPeriod,DateFill,MJMONSMOKE,Relates the survey period to the specific reference date.
hasSurveyPeriod,MarijuanaUse,TimePeriod,MJMONVAPE,Specifies that the marijuana usage was in the past 30 days.
hasMethodOfConsumption,MarijuanaUse,MethodOfConsumption,MJMONVAPE,Details the method used to consume marijuana or any cannabis product.
hasUsageMode,Substance,ModeOfUse,MJMONDAB,"Relates the substance (marijuana or any cannabis product) to the method of usage (dabbing waxes, shatter, or concentrate)."
hasTimePeriod,Substance,TimePeriod,MJMONDAB,Relates the substance (marijuana or any cannabis product) to the specified time period (past 30 days since [DATEFILL]).
hasSurveyPeriod,SubstanceUse,SurveyPeriod,MJMONEAT,Relates the usage of marijuana or cannabis products to the past 30 days
hasMethodOfConsumption,SubstanceUse,ConsumptionMethod,MJMONEAT,Indicates that the usage of marijuana or cannabis involves a specific method of consumption (eating or drinking)
usesSubstance,SurveyRespondent,SubstanceUseMethod,MJMONMOUTH,Indicates that the survey respondent used marijuana or any cannabis product in a specific method.
hasSurveyPeriod,SurveyRespondent,TimePeriod,MJMONMOUTH,Relates the respondent's use of marijuana or cannabis to the time period of the past 30 days.
refersToDate,SurveyPeriod,SurveyDate,MJMONMOUTH,Specifies the exact date or period [DATEFILL] during which the marijuana or cannabis use is assessed.
usedInPast30Days,MarijuanaUse,TimePeriod,MJMONSKIN,Relates the usage of marijuana to the time period of the past 30 days.
appliedVia,MarijuanaUse,ApplicationMethod,MJMONSKIN,Relates the usage of marijuana to the method of application (lotion/cream/patch).
hasUsageMethod,Respondent,MarijuanaUsage,MJMONPILL,Details the methods by which the respondent has used marijuana or cannabis products in the past 30 days.
hasSurveyPeriod,MarijuanaUsage,DateFill,MJMONPILL,Relates the marijuana usage methods to the time period of the past 30 days.
wasRecommendedBy,MarijuanaUse,DoctorRecommendation,MJANYMEDYR,Indicates that the marijuana use was recommended by a doctor or other healthcare professional.
hasTimePeriod,MarijuanaUse,TimePeriod,MJANYMEDYR,"Indicates the time period in question, which is the past 12 months."
surveyedBy,MarijuanaUse,SurveyRespondent,MJANYMEDYR,Indicates that the marijuana use was reported by the survey respondent.
usedIn,Substance,TimePeriod,MJALLMEDYR,Marijuana or cannabis use in the past 12 months
recommendedBy,Substance,HealthcareProfessional,MJALLMEDYR,Marijuana or cannabis use recommended by doctor or other health care professional
hasRecommendation,Substance,Recommendation,MJALLMEDYR,All marijuana or cannabis use in the past 12 months recommended by doctor or other health care professional
residesIn,Respondent,State,MEDMJPA2,Indicates the state where the respondent resides.
hasMedicalMarijuanaLaw,State,MedicalMarijuanaLaw,MEDMJPA2,Indicates whether a state has passed a medical marijuana law.
evaluatedOn,MedicalMarijuanaLaw,InterviewDate,MEDMJPA2,Indicates the passing of medical marijuana law in relation to the interview date.
hasTimePeriod,MarijuanaUse,TimePeriod,MKMBGHTYR,Relates the usage of marijuana to the past 12 months.
acquiredVia,MarijuanaUse,MarijuanaSource,MKMBGHTYR,Describes the method or source of acquiring marijuana.
askedTo,MarijuanaUse,Respondent,MKMBGHTYR,Indicates that the marijuana use question was addressed to the respondent.
excludes,MarijuanaUse,ExclusionCriteria,MKMBGHTYR,Clarifies that CBD or hemp products are excluded from the responses.
involves,TransactionType,Substance,MKMTRADEYR,The transaction type involves marijuana or cannabis products
occurredWithin,TransactionType,TimePeriod,MKMTRADEYR,The transaction occurred within the past 12 months
answeredBy,TransactionType,Respondent,MKMTRADEYR,The transaction type is reported by the respondent
excludes,QuestionContent,Exclusion,MKMTRADEYR,The question content explicitly excludes CBD and hemp products
isAcquiredBy,Substance,MeansOfAcquisition,MKMFREEYR,Describes how the marijuana or cannabis products were obtained.
hasTimePeriod,Substance,TimePeriod,MKMFREEYR,Relates the acquisition of marijuana or cannabis products to the past 12 months.
hasSurveyPeriod,MarijuanaUse,TimePeriod,MKMGREWYR,Relates the act of growing marijuana to the time period of the past 12 months.
includesSubstance,Survey,Substance,MKMGREWYR,Refers to the inclusion of marijuana or cannabis products in the survey questions.
excludesSubstance,Survey,Exclusion,MKMGREWYR,Refers to the exclusion of CBD or hemp products when answering the survey questions.
reportedMarijuanaUsage,SurveyRespondent,MarijuanaUsage,MKMOTHWAYYR,Indicates the respondent reported using marijuana through an unknown source in the past 12 months.
hasSurveyPeriod,Survey,TimePeriod,MKMOTHWAYYR,Relates the survey to the time period of the past 12 months.
hasLastPurchaseTime,Marijuana,PurchaseTime,MKMBGHTREC,Relates marijuana to the time since it was last purchased.
measuredIn,MarijuanaPurchaseDays,SurveyPeriod,MKMBGHT30N2,The number of days of marijuana purchase activity measured within the past 30 days.
involves,MarijuanaPurchaseDays,EconomicActivity,MKMBGHT30N2,The activity of paying for or buying marijuana involves economic transactions.
hasPurchaseFrequency,Respondent,PaymentAmount,MKMAMTPDCOM2,Relates the respondent's frequency of payment or purchase of marijuana or cannabis products to the amount paid.
hasSurveyPeriod,Survey,SurveyPeriod,MKMAMTPDCOM2,Relates the survey to the time period of the past 30 days.
boughtFrom,SurveyRespondent,Location,MKMBGHTDISP,The respondent bought marijuana or cannabis products from either a store or dispensary.
involvesSubstance,PurchaseEvent,Substance,MKMBGHTDISP,The purchase event involves marijuana or cannabis products.
performedBy,PurchaseEvent,SurveyRespondent,MKMBGHTDISP,The purchase event was carried out by the survey respondent.
hasFamiliarityLevel,Person,FamiliarityLevel,MKMBGHTKNW,Indicates the level of familiarity with the person from whom the respondent bought marijuana or cannabis products.
isBoughtFrom,MarijuanaPurchase,Person,MKMBGHTKNW,Relates the marijuana purchase to the person from whom it was bought.
includesForm,MarijuanaPurchaseInstance,MarijuanaForm,MKMBGHTJNT,Indicates the form of marijuana included in the purchase instance.
occurredDuring,MarijuanaPurchaseInstance,PaymentOccasion,MKMBGHTJNT,Relates the marijuana purchase to the occasion when it was paid for.
hasSubstance,Purchase,Substance,MKMBGHTLOO,Relates the act of purchase to the specific substance bought.
occurredIn,Purchase,TimePeriod,MKMBGHTLOO,Relates the act of purchase to the specified time period of the past 12 months.
buys,Respondent,Purchase,MKMBGHTVAPE,Relates the respondent to the act of purchasing marijuana.
hasForm,Marijuana,Vaping Cartridge,MKMBGHTVAPE,Relates the substance marijuana to the form of a vaping cartridge.
hasForm,Marijuana,Vaping Oil,MKMBGHTVAPE,Relates the substance marijuana to the form of a vaping oil.
hasForm,Marijuana,Vaping Pen,MKMBGHTVAPE,Relates the substance marijuana to the form of a vaping pen.
occursDuring,Purchase,Time Period,MKMBGHTVAPE,Relates the purchase activity to the time period of the past 12 months.
hasForm,Marijuana,Form,MKMBGHTDAB,"Relates marijuana to its various forms such as waxes, shatter, or concentrate."
purchasedInPast12Months,Purchase,TimePeriod,MKMBGHTDAB,Relates the purchase of marijuana to the past 12 months period.
inFormOf,Substance,Form,MKMBGHTEDBLE,Specifies the form of marijuana or cannabis products bought
occuredDuring,Transaction,TimePeriod,MKMBGHTEDBLE,Specifies that the transaction occurred within the past 12 months
hasPurchaseForm,MarijuanaPurchase,MarijuanaForm,,Specifies the forms of marijuana bought by the respondent during their last purchase.
occurredDuring,MarijuanaPurchase,TimePeriod,,Relates the marijuana purchase to a time frame of past 12 months.
involvesProductForm,MarijuanaPurchase,MarijuanaForm,MKMBGHTLTN,Relates the marijuana purchase to the specific forms of marijuana bought by the respondent.
isTransactionType,MarijuanaPurchase,TransactionType,MKMBGHTLTN,Defines the type of transaction as a purchase.
requiresPayment,MarijuanaPurchase,Payment,MKMBGHTLTN,Indicates that the purchase of marijuana involved a form of payment.
purchasedInTimeframe,Purchaser,PurchaseTimeframe,MKMBGHTPILL,Relates the individual who bought marijuana to the past 12 months time frame.
purchasedForm,Purchaser,PurchaseForm,MKMBGHTPILL,Relates the individual who bought marijuana to the forms of marijuana bought.
hasTimePeriod,MarijuanaPurchase,TimePeriod,MKMBGHTOTH,Relates the purchase of marijuana to the reporting period of the past 12 months.
hasUnspecifiedForm,MarijuanaPurchase,UnspecifiedForm,MKMBGHTOTH,Indicates that the form of marijuana bought is unknown or not specified.
estimatedAmount,ReportedPurchase,MarijuanaPurchase,MKMLOOGMCOM2,Links the report of marijuana purchase to the estimated amount of loose marijuana bought in grams.
containsForm,ReportedPurchase,FormOfMarijuana,MKMLOOGMCOM2,Relates the report of marijuana purchase to the specific forms of marijuana product bought.
uncategorizedForm,ReportedPurchase,FormOfMarijuana,MKMLOOGMCOM2,Indicates that the form of marijuana bought is unknown if respondents did not report any form in the past 12 months.
involvesSubstance,MarijuanaPurchase,Marijuana,,Indicates that the transaction involves the purchase of marijuana.
hasAmount,MarijuanaPurchase,Ounces,,Specifies the amount of marijuana bought in the transaction.
sold,Individual,MarijuanaSales,MKMSELLMRJ,Indicates whether the respondent sold marijuana or cannabis products.
