entity,question_code,description
PCP,HALLUCOTH,A specific type of hallucinogen used by the respondent.
Ecstasy,HALLUCOTH,A specific type of hallucinogen used by the respondent.
Ketamine,HALLUCOTH,A specific type of hallucinogen used by the respondent.
DMT/AMT/Foxy,HALLUCOTH,A specific type of hallucinogen used by the respondent.
Salvia divinorum,HALLUCOTH,A specific type of hallucinogen used by the respondent.
OtherHallucinogens,HALLUCOTH,Hallucinogens not specified in the predefined list used by the respondent.
Respondent,HALLUCOTH,Individual providing responses in the survey.
Hallucinogen,HALLUCOT1,"Other hallucinogens used besides the listed ones (LSD, PCP, Ecstasy, ketamine, DMT/AMT/Foxy, or Salvia divinorum)."
Usage,HALLUCOT1,Usage of hallucinogens.
LifeTimeUsage,HALLUCOT1,Lifetime usage of hallucinogens.
RecentUsage,HALLUCOT1,More recent usage of any hallucinogen.
EarlierInitiation,HALLUCOT1,Earlier initiation of any hallucinogen.
Hallucinogen,HALLUCOT2,"Any hallucinogens other than LSD, PCP, Ecstasy, ketamine, DMT/AMT/Foxy, or Salvia divinorum."
LSD,HALLUCOT2,"Lysergic acid diethylamide, a commonly known hallucinogen."
PCP,HALLUCOT2,"Phencyclidine, a dissociative drug with hallucinogenic properties."
Ecstasy,HALLUCOT2,"MDMA, a psychoactive drug with stimulant and hallucinogenic properties."
Ketamine,HALLUCOT2,"A medication primarily used for starting and maintaining anesthesia, also known to have hallucinogenic effects."
DMT/AMT/Foxy,HALLUCOT2,"Different types of hallucinogens: DMT (Dimethyltryptamine), AMT (Alpha-Methyltryptamine), Foxy (5-MeO-DiPT)."
Salvia divinorum,HALLUCOT2,A plant species known for its psychoactive properties and hallucinogenic effects.
Respondent,HALLUCOT2,The individual taking the survey and reporting hallucinogen use.
Hallucinogen Use,,"Lifetime use of hallucinogens other than specified ones (LSD, PCP, Ecstasy, ketamine, DMT/AMT/Foxy, or Salvia divinorum)."
Respondent,,"Individual answering the survey, providing information about hallucinogen use."
Hallucinogen,,"Category of drugs that cause hallucinations, including LSD, PCP, Ecstasy, ketamine, DMT/AMT/Foxy, Salvia divinorum, and other specified hallucinogens."
Substance,HALLUCOT4,Other Hallucinogen
Substance,HALLUCOT4,LSD
Substance,HALLUCOT4,PCP
Substance,HALLUCOT4,Ecstasy
Substance,HALLUCOT4,Ketamine
Substance,HALLUCOT4,DMT/AMT/Foxy
Substance,HALLUCOT4,Salvia divinorum
TimePeriod,HALLUCOT4,Respondent's lifetime
Hallucinogen,HALLUCOT5,Any other hallucinogens used by the respondent.
LSD,HALLUCOT5,"Lysergic acid diethylamide, a specific type of hallucinogen."
PCP,HALLUCOT5,"Phencyclidine, a specific type of hallucinogen."
Ecstasy,HALLUCOT5,"Also known as MDMA, a specific type of hallucinogen."
Ketamine,HALLUCOT5,A specific type of hallucinogen.
DMT/AMT/Foxy,HALLUCOT5,Specific types of hallucinogens.
Salvia divinorum,HALLUCOT5,A specific type of hallucinogen.
Respondent,HALLUCOT5,The individual answering the survey question.
HallucinogenUse,HALLUCEVR,"Ever used hallucinogens such as DMT, AMT, FOXy, Ecstasy, Molly, Other hallucinogens, Ketamine, PCP, LSD, Mescaline, Peyote, Psilocybin, or Salvia divinorum."
DMTAMTFXY,HALLUCEVR,"Dimethyltryptamine (DMT), Alpha-methyltryptamine (AMT), and 5-MeO-DiPT (FOXY)."
ECSTMOLLY,HALLUCEVR,Ecstasy and Molly.
HALLUCOTH,HALLUCEVR,Other unspecified hallucinogens.
KETMINESK,HALLUCEVR,Ketamine.
LSD,HALLUCEVR,Lysergic acid diethylamide (LSD).
MESC,HALLUCEVR,Mescaline.
PCP,HALLUCEVR,Phencyclidine (PCP).
PEYOTE,HALLUCEVR,Peyote.
PSILCY,HALLUCEVR,Psilocybin.
SALVIADIV,HALLUCEVR,Salvia divinorum.
Age,HALLUCAGE,Age when the respondent first used hallucinogens.
Hallucinogens,HALLUCAGE,The type of substance related to the question (hallucinogens such as LSD).
HallucinogenUseEvent,HALLUCMFU,Event of the first use of hallucinogens in a specific year.
Month,HALLUCMFU,Month of first hallucinogen use.
CurrentYear,HALLUCMFU,The current year in which the survey is being conducted.
PreviousYear,HALLUCMFU,The year inferred from previous survey data.
LSFILL,HALLUCMFU,Substance for which the month of first use is asked.
HallucinogenUse,HALLUCREC,Time since the respondent last used hallucinogens.
Respondent,HALLUCREC,Individual who is responding to the survey.
TimePeriod,HALLUCREC,Duration since the last use of hallucinogens.
HallucinogenUseFrequency,HALLUCYFQ,Frequency of hallucinogen use in the past 12 months.
Hallucinogen,HALLUCYFQ,Refers to hallucinogenic substances like LSD.
TimePeriod,HALLUCYFQ,Past 12 months.
SubstanceUse,HALTOTFG,Indicators related to the use of hallucinogens or similar substances.
TimeSinceLastUse,HALTOTFG,How long it has been since the respondent last used a substance identified by [LSFILL].
SubstanceUse,HALFQFLG,A flag indicating the respondent's use of a hallucinogenic substance in the last 12 months.
TimeSinceLastUse,HALFQFLG,Duration since the respondent last used the substance.
SpecificSubstance,HALFQFLG,[LSFILL] placeholder filled with a specific hallucinogenic substance
Respondent,,Individual participating in the survey.
TimePeriod,,The past 12 months from a specific date [DATEFILL] through today.
Substance,,Specific hallucinogen used denoted by [LSFILL].
UsageFrequency,,The number of days the hallucinogen has been used in the past 12 months.
Respondent,,The individual providing information on hallucinogen use.
HallucinogenUseDays,HALLDYSYR,Number of days in the past 12 months the respondent used hallucinogens.
Substance,HALLDYSYR,"The specific type of hallucinogen used, represented by [LSFILL]."
TimePeriod,HALLDYSYR,The duration of past 12 months.
Respondent,HALLDYSYR,The individual providing the survey responses.
Hallucinogen Use Frequency,HALLDYPMO,The number of days per month an individual used hallucinogens in the past 12 months.
Time Period,HALLDYPMO,The past 12 months.
Hallucinogens,HALLDYPMO,Substance being referred to in the context of hallucinogen use.
HallucinogenUsage,HALLDYPWK,The number of days per week the respondent used hallucinogens in the past 12 months.
Respondent,HALLDYPWK,The individual providing responses to the survey questions.
Substance,HALLDYPWK,"Specifies the substance used, in this context, a hallucinogen."
TimePeriod,HALLDYPWK,The past 12 months period during which the substance use is assessed.
HallucinogenUse,HALLUC30N,Number of days hallucinogen was used in the past 30 days.
SurveyPeriod,HALLUC30N,"The past 30 days, from [DATEFILL] up to and including today."
HallucinogensUsage,HALLUC30E,Best estimate of the number of days used hallucinogens in the past 30 days.
TimePeriod,HALLUC30E,The past 30 days.
Hallucinogens,HALLUC30E,"Substance being used, specifically hallucinogens."
LSDUse,LSDAGE,The event of a respondent first using LSD.
Age,LSDAGE,The age at which the respondent first used LSD.
Respondent,LSDAGE,Individual who is responding to the survey.
LSD Use,LSDYFU,Year of first LSD use.
Year,LSDYFU,The specific year in which the respondent first used LSD.
Month,LSDYFU,The specific month in the current year in which the respondent first used LSD.
LSD,LSDMFU,"Lysergic acid diethylamide, also known as LSD."
FirstUseDate,LSDMFU,The date (month and year) when the respondent first used LSD.
Year,LSDMFU,The specific year in which the respondent first used LSD.
CurrentYear,LSDMFU,The current year in which the survey is being conducted.
Respondent,LSDMFU,The individual participating in the survey.
LSDUse,LSDREC,The event of using LSD.
TimeSinceLastUse,LSDREC,Duration since the last use of LSD.
Respondent,LSDREC,The individual responding to the survey question.
PCPUsage,PCPAGE,PCP usage behavior of the respondent.
Age,PCPAGE,Age of the respondent when first used PCP.
Respondent,PCPAGE,The person who is responding to the survey.
PCP,PCPAGE,"Phencyclidine (PCP), a hallucinogenic drug."
PCP_Use,PCPYFU,Year when the respondent first used PCP.
Current_Year,PCPYFU,The current year during which the respondent is taking the survey.
Resp_First_Use_Year,PCPYFU,Year when the respondent first used PCP as per the question response.
Drug,PCPMFU,"PCP (Phencyclidine), a substance."
UsageEvent,PCPMFU,The event of first using PCP within a specified period.
Month,PCPMFU,Specific month when the first usage of PCP occurred.
Year,PCPMFU,Specific year when the first usage of PCP occurred.
Respondent,PCPMFU,Individual who is responding to the survey.
PCPUsage,PCPREC,Usage of PCP by the respondent.
TimeSinceLastUse,PCPREC,Time period since the last usage of PCP by the respondent.
Respondent,PCPREC,Individual responding to the survey.
Substance,ECSTMOAGE,"Ecstasy or Molly, also known as MDMA"
Age,ECSTMOAGE,Age when first used Ecstasy or Molly
Respondent,ECSTMOAGE,Individual responding to the survey
Substance,,Ecstasy or Molly
YearFirstUse,,Year of first use of Ecstasy or Molly
MonthFirstUse,,Month of first use of Ecstasy or Molly
EcstasyOrMollyUse,ECSTMOMFU,Month of first 'Ecstasy' or 'Molly' use.
Month,ECSTMOMFU,Specific month when the first use of 'Ecstasy' or 'Molly' occurred.
Year,ECSTMOMFU,"The year when the first use of 'Ecstasy' or 'Molly' took place, either the current year or the year retrieved from LS18 or LS19."
Substance,ECSTMOREC,"'Ecstasy' or 'Molly,' also known as MDMA"
UsageTimeframe,ECSTMOREC,Time since last used 'Ecstasy' or 'Molly'
KetamineUsage,KETMINREC,Time since the respondent last used Ketamine.
TimePeriod,KETMINREC,Period of time since last Ketamine use.
Respondent,KETMINREC,Individual providing the response about Ketamine use.
DMT,DAMTFXREC,"A psychedelic drug known as N,N-Dimethyltryptamine."
AMT,DAMTFXREC,A psychedelic and stimulant drug known as Alpha-Methyltryptamine.
Foxy,DAMTFXREC,A psychedelic drug known as 5-MeO-DiPT.
Time_Since_Last_Use,DAMTFXREC,"The time period since the last use of DMT, AMT, or Foxy."
Respondent,DAMTFXREC,The individual taking the survey.
Substance_Use,DAMTFXREC,"The act of using drugs such as DMT, AMT, or Foxy."
Substance,AMYLNIT,"Amyl nitrite, 'poppers,' rush, or locker room odorizers inhaled for recreational purposes."
Inhalants,AMYLNIT,"Liquids, sprays, or gases that people sniff or inhale to get high."
Activity,AMYLNIT,Inhalation of substances for the purpose of getting high.
Person,AMYLNIT,Respondent who may inhale substances to get high.
Substance,CLEFLU,Correction fluid
Substance,CLEFLU,Degreaser
Substance,CLEFLU,Cleaning fluid
Activity,CLEFLU,Inhaled for kicks or to get high
Behavior,CLEFLU,Substance misuse
SubstanceInhalation,{GLUE},Inhalation of specified substances for recreational use.
InhaledSubstances,{GLUE},"Specific substances inhaled such as glue, shoe polish, or toluene."
RecreationalUse,{GLUE},Use of substances to get high or for kicks.
InhalantSubstance,ETHER,"Halothane, ether, or other anesthetics inhaled for kicks or to get high."
InhalationBehavior,ETHER,"Behavior related to the inhalation of halothane, ether, or other anesthetics."
SubstanceUse,ETHER,"Use of substances such as halothane, ether, or other anesthetics."
Respondent,ETHER,Individual responding to the survey about inhalant substance use.
Substance,SOLVENT,Lacquer thinner or other paint solvents
Action,SOLVENT,Inhaled
Purpose,SOLVENT,For kicks or to get high
InhalantSubstance,LGAS,Lighter gases including butane and propane.
Action,LGAS,The act of inhaling substances.
Purpose,LGAS,Reason for inhaling lighter gases.
Respondent,LGAS,An individual respondent of the survey.
NitrousOxideUse,NITOXID,Experience of inhaling nitrous oxide or 'whippits' for kicks or to get high.
FrequencyOfUse,NITOXID,The frequency at which nitrous oxide or 'whippits' have been inhaled.
Substance,NITOXID,Various substances considered under substance use disorders.
Inhalants,NITOXID,Category of intoxicative substances that are inhaled.
MentalHealthAndSubstanceUse,NITOXID,Intersection of mental health issues with substance use behaviors.
Substance,FELTMARKR,Felt-tip pens/markers/magic markers
Inhalation,FELTMARKR,The act of inhaling substances
Behavior,FELTMARKR,Inhaled for kicks or to get high
Respondent,FELTMARKR,The individual who is responding to the survey
Inhalant,SPPAINT,A substance that is inhaled for kicks or to get high.
SprayPaint,SPPAINT,A type of inhalant used by individuals for recreational drug use.
SubstanceUse,SPPAINT,The act of using substances like spray paints to get high.
Respondent,SPPAINT,An individual participating in the NSDUH survey.
InhalantUse,AIRDUSTER,"Have you ever, even once, inhaled computer keyboard cleaner, also known as air duster, for kicks or to get high?"
Substance,AIRDUSTER,Computer keyboard cleaner/air duster
AerosolSprayUse,OTHAEROS,Inhalation of other aerosol sprays for recreational purposes.
InhalationEvent,OTHAEROS,The act of inhaling aerosol sprays for kicks or to get high.
SubstanceAbuse,OTHAEROS,The misuse of substances including aerosol sprays.
InhalantUsage,INHALOTH,Usage of other inhalants for recreational purposes.
Inhalants,INHALOTH,Any inhalants besides those previously listed.
Individual,INHALOTH,Person responding to the survey question.
InhalantUsage,INHALOT1,Use of any other inhalants for kicks or to get high besides the ones that have been listed.
Inhalant,INHALOT1,A category of substances that are inhaled through the nose or mouth.
